"vessel_rnpa","name","port","economic_unit","src","seg_id","point_in_seg","datetime","lat","lon","sea","eez","mpa","fishing_region","distance_from_port_m","distance_from_shore_m","depth_m","reported_speed","course","year","month","distance_to_last_m","hours","implied_speed_knots"
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55076,2018-03-11 17:39:00,18.76777,-95.76393,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.06601529771347,1,0.00165551581949971
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55077,2018-03-11 18:39:00,18.76775,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.06601546962278,1,0.00165551591232331
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55078,2018-03-11 19:39:00,18.76775,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,0,1,0
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55079,2018-03-11 20:39:00,18.76772,-95.76393,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.94922933269191,1,0.0021324132465939
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55080,2018-03-11 21:39:00,18.76772,-95.76388,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.2700121781134,1,0.00284557892986685
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55081,2018-03-11 22:39:00,18.7677,-95.76393,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.72099666578351,1,0.00308909107223731
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55082,2018-03-11 23:39:00,18.76773,-95.76393,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.33957000001497,1,0.00180322354212471
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55083,2018-03-12 00:39:00,18.76772,-95.76392,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,1.53300786374322,1,0.000827758025779275
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55084,2018-03-12 01:39:00,18.76773,-95.76397,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.38629901131009,1,0.00290836879660372
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55085,2018-03-12 02:39:00,18.7677,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.94922946615475,1,0.00213241331865807
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55086,2018-03-12 03:39:00,18.76772,-95.76392,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.86717702112108,1,0.00208810854272196
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55087,2018-03-12 04:39:00,18.76758,-95.76388,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,16.1448566107265,1,0.00871752516777887
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55088,2018-03-12 05:39:00,18.76768,-95.76392,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,11.9035265443472,1,0.00642739014273609
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55089,2018-03-12 06:39:00,18.76768,-95.7639,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,2.10800537131545,1,0.00113823184196299
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55090,2018-03-12 07:39:00,18.76772,-95.7639,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,4.45276000004492,1,0.00240429805617976
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55091,2018-03-12 08:39:00,18.76768,-95.7639,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,4.45276000004492,1,0.00240429805617976
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55092,2018-03-12 09:39:00,18.7677,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,5.72099666578351,1,0.00308909107223731
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55093,2018-03-12 10:39:00,18.76772,-95.76392,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.86717702112108,1,0.00208810854272196
