period,year,eu_id,vessel_id,effort_hours,catch_kg,cpue
subsidies,2018,3010002990,00066233,4647.983333333334,38200,8.218618110363275
subsidies,2016,3010002503,00027516,6088.683333333339,55399.4,9.098748771628232
subsidies,2019,3010002768,00042630,1117.6333333333334,3963,3.5458856512272954
no subsidies,2022,3010002933,00064410,3966.149999999999,50029,12.613995940647735
subsidies,2019,3010002669,00066167,5949.333333333334,38876.82,6.534651501568803
subsidies,2019,3010002933,00034389,2706.8500000000013,16589,6.128525777194891
no subsidies,2022,3010002933,00039073,2967.833333333332,50615.2,17.05459650699164
subsidies,2017,3010002768,00066001,5525.6500000000015,69560.59999999999,12.588672825821392
no subsidies,2021,3010002768,00066001,5935.316666666672,42901,7.2280894869411565
subsidies,2017,3010002800,00066035,4750.8499999999985,86676,18.2443141753581
subsidies,2016,3010002669,00066142,4808.033333333342,56683.64,11.789360861336215
subsidies,2019,3010002669,00066241,4157.183333333335,38244.71,9.199668846294161
no subsidies,2020,3010002933,00034389,2107.4999999999995,18796,8.918623962040334
subsidies,2018,3010002651,00034421,5189.183333333335,28084,5.4120269406554
subsidies,2019,3010002933,00039073,5907.983333333337,38623,6.537425348187053
subsidies,2016,3010002768,00042630,5633.533333333344,67874.8,12.048353312900112
subsidies,2018,3010002313,00066092,3048.1,5926,1.944161936944326
